Occupation,MBTI,Votes
Ventriloquist,ENFP,29
News Reporter,ENFJ,34
Word Processor / Typist,ISTJ,24
Car Body Repairer,ISTP,37
Cabinetmaker,ISTP,21
Woodworker,ISTP,29
Playwright,INFP,52
Wedding Planner,ESFJ,35
Advertising Director,ENFP,38
Marriage and Family Therapist,ENFJ,34
Ballistics Expert,ISTP,29
Mycologist,INFJ,29
Forensic Cleaner,ISTP,22
Audio Engineer,INTP,49
Autopsy Technician,ISTP,11
Iconographer,INFJ,7
Mafioso,ENTJ,35
Gangster,ESTP,40
Pharmaceutical Salesman,ENFJ,12
Hairstylist,ESFP,17
Computer Scientist,INTP,8
Faith Healer,ENFJ,6
Ghost Hunter,ISTP,1
Medical Engineering,INTP,4
Accountant,ISTJ,415
Airline Captain,ESTJ,113
Animal Rights Activist,ENFP,155
Dentist,ISTJ,99
Proctologist,ENTP,38
Philosophy Professor,INFJ,131
Farmer,ISTJ,116
Undercover Cop,ENTP,52
Ghostwriter,INTP,80
Hairdresser,ESFP,44
History Professor,ISTJ,58
Anthropologist,INFJ,138
Flower Farmer,ISFP,42
Coach,ESTP,119
Film Critic,INTJ,162
Life Coach,ENFJ,75
Mortician,INTJ,28
Soldier,ISTJ,59
Taxi Driver,ISTJ,77
UX Designer,INTJ,34
Maid / Housekeeping Cleaner,ISFJ,70
Barista,ISFP,59
Diplomat,ENFJ,100
Zoologist,ISFP,68
Management Consultant,ESTJ,26
Physical Therapist,ISFJ,58
Developmental Psychologist,INFJ,35
Environmental Engineer,INFP,40
Loan Shark,ENTP,46
Maestro,INTJ,69
Archivist,ISTJ,62
Fitness Trainer,ESTP,39
Pope,ESFJ,46
Groupie,ESFP,34
Bookmaker,ENTJ,17
Makeup Artist,ESFP,88
Beauty Blogger,ESFJ,82
Homeopathic,ISFP,28
Beekeeper,ISFJ,34
Pediatrician,ESFJ,20
Chiropractor,ESFJ,17
Pharmacologist,INTP,23
Ambulance Driver,ISFJ,47
Pet Groomer,ESFP,31
Industrial/Organizational Psychologist,ENTJ,43
Umpires and Referees,ISTJ,35
Grey Eminence,INTJ,31
Parole Officer,ISTJ,13
Air Traffic Controller,ISTJ,62
Paparazzo,ESTP,33
Prosecutor,ENTJ,46
Evolutionary Biologist,INTJ,79
Realtor,ENTJ,31
Whistleblower,INTJ,54
Geographer,ISTJ,29
Landscape Architect,ENFP,30
Personal Financial Advisor,ESTJ,52
Nutritionist / Dietitian,ISFJ,24
Bus Driver,ISTJ,43
Cardiologist,ISTJ,37
Prison Warden,ESTJ,25
Anchorman,ESTJ,50
Photojournalist,ENFP,30
Gardener,ISFJ,43
Foster Home Worker,ESFJ,13
Ethicist,ENFJ,57
Funeral Director,ISTJ,21
Snake Venom Milker,ESTP,12
Sexologist,ENFJ,72
Cook,ISFJ,56
Interpreter,ENTP,33
Logistician,ISTJ,34
Philanthropist,ENFJ,49
Thermodynamicist,INTP,28
Electromagnetist,INTP,43
Lobbyist,ENTP,26
Gravedigger,ISTJ,25
Bailiff,ISTJ,17
Bureaucrat,ISTJ,45
Butler,ISFJ,83
Botanist,ISTJ,27
Career Counselor,ENTJ,58
Food Blogger,ESFJ,32
Concierge,ESFJ,13
Paleontologist,ISTJ,44
Cashier,ISFJ,46
Bacteriologist,INTP,46
Parasitologist,INTJ,34
Geostationary Satellite Monitor,INTP,13
Waiter / Waitress,ESFJ,47
Dermatopathologist,ISTJ,24
TV Camera Operator,ISTJ,18
Urban Planner,INTJ,41
Massage Therapist,ISFJ,33
Diagnostic Medical Sonographer,ISFJ,16
Street Food Vendor,ESFP,16
Publicist,ENFJ,19
Buckingham Palace Guard,ISTJ,62
Civil Rights Activist,ENFJ,54
Blogger,ESFP,29
Special Education Teacher,ENFJ,24
Theologian,ISFJ,27
Arts/Drama Professor,ENFJ,34
Film Producer,INTJ,28
Non-Profit Director,INFJ,19
Early Education Teacher,ENFP,31
Corporate Finance Attorney,ESTJ,20
Bar Owner,ESTP,26
School Principal,ESTJ,37
Bill Collector,ESTJ,20
Flight Instructor,ESTJ,13
Auctioneer,ESFP,13
Floral Designer,ISFJ,29
Orthodontist,ESFJ,14
Entomologist,INTP,41
Essayist,INTJ,26
Delivery Cyclist,ESTP,23
Book Designer,INFP,42
Medical Examiner,INTP,27
Pharmacist,ISFJ,62
Military Officer,ESTJ,25
Forensic Scientist,INTJ,35
Music Critique,ENTP,18
Banker,ISTJ,14
Investment Banking (IBD),ENTJ,5
Marketeer,ESTP,3
Agricultural Engineer,ISTJ,45
Cartographer,ISTJ,25
Draftsman,ISTJ,11
Industrial Engineer,ESTJ,22
Water/Wastewater Engineer,ISTJ,11
Receptionist,ESFJ,23
Financial Analyst,INTJ,59
Curator,ISTJ,24
Forester,ISTJ,19
Coroner,ISTJ,29
Book Editor,ISTJ,43
Geriatric Physician,ISFJ,21
Mailman,ISFJ,36
Tailor,ISFJ,17
Sommelier,ESTP,13
Televangelists,ESFJ,29
Spokesman,ENTP,17
Craft Artist,ISFP,44
Dog Walker,ISFJ,19
Treasure Hunter,ESTP,53
Physiologist,INFJ,28
Beauty Guru,ESFP,66
Party Planner,ESFJ,29
Freight Forwarder,ISTJ,11
Secretary,ISFJ,43
Nursery Teacher,ESFJ,103
Street Musician,ISFP,33
Case–Control Study,ENTJ,23
Resuscitation Research,INTJ,13
Bishop,ESFJ,43
Planetary Scientist,INTJ,50
Industrial Production Manager,ESTJ,10
Sales Manager,ESTJ,22
Technical Writer,INTP,33
Social Worker,ESFJ,67
Jeweler,ISTJ,23
Manicurist / Pedicurist,ESFJ,17
Travel Agent,ESTJ,18
Radio / TV Announcer,ESFP,20
Courier / Messenger,ESFJ,14
Tire Repairer / Changer,ISTJ,15
Lifeguard,ESTP,34
Animal Control/Rescuer,ISFJ,74
Daycare Worker,ESFJ,31
Parking Lot Attendant,ISTJ,14
Bellhop,ESFJ,20
Vascular Surgeon,ISTJ,20
Customs Officer,ESTJ,13
Speechwriter,ENFJ,15
Choreographer,ESFP,40
Plastic Surgeon,ISTJ,27
Public Speaker,ENFJ,24
Military Combat,ISTJ,67
Internal affairs (law enforcement),ISTJ,19
Podcast Producer,ENTP,39
Corporate Trainer,ESTJ,11
Humanities Professor,INFJ,31
Genealogist,ISFJ,14
Missionary,ENFJ,40
Nun,ISFJ,33
Website Content Editor,INTP,16
College Administrator,ESTJ,13
Talent Agent,ENFJ,14
Venture Capitalist,ENTJ,22
